,,6,C,,,¿Ves? Por mucho que insistas solo estás perdiendo el tiempo.,"See, no matter how much you insist, you're just wasting your time."
,,6,C,,,"Por favor, detente y escucha lo qu...","Please, stop and listen to what I..."
,,2,A,,,"¡ESCÚCHAME TÚ A MÍ, PEDAZO DE MIERDA!","YOU LISTEN TO ME, YOU PIECE OF SHIT!"
,,2,A,,,¡ME DA IGUAL QUE TENGAS COMPLEJO DE DIOS O EN QUÉ SECTA ESTÉS METIDO!,I DON'T CARE IF YOU HAVE A GOD COMPLEX OR WHAT CULT YOU'RE IN!
,,2,A,,,¡ME DA IGUAL LOS TRUCOS QUE USES POR MUY EXTRAÑOS QUE SEAN!,"I DON'T CARE WHAT TRICKS YOU USE, NO MATTER HOW STRANGE THEY ARE!"
,,2,A,,,¡NO PIENSO PERMITIR QUE TE LIBRES DE ESTA! ¡NO DESCANSARÉ HASTA DARTE CAZA!,I WON'T LET YOU GET AWAY WITH THIS! I WON'T REST UNTIL I HUNT YOU DOWN!
,,6,C,,,...,...
,,6,C,,,En la azotea encontrarás un rival digno de tu habilidad. La única persona capaz de igualarte.,On the rooftop you will find an opponent worthy of your skill. The only person capable of matching you.
,,6,C,,,No me has dejado más remedio. Esto termina ahora.,You have left me no choice. This ends now.
0,,2,A,,,"¡Y tanto que termina ahora, bastardo!","Of course it ends now, you bastard!"
