,,1,A,,,...,...
,,,,,,,
7,R,1,A,,,¿Qué es lo que pasa con tus hombres? Parecen un poco... estáticos.,What's wrong with your men? They seem a little... static.
7,R,1,A,,,"¿Muñecos, en serio? ¿Has tomado el banco tú solo y nos estás probando?","Mannequins, really? You've taken the bank yourself and you're testing us?"
7,R,1,A,,,Maniquíes disfrazados y muchas mentiras... ¡Empieza a hablar!,Dummies in disguise and a lot of lies... Start talking!
,,,,,,,
,,4,B,,,"Oh Raymond, justo a tiempo. Quería preguntarle algo.","Oh Raymond, just in time. I wanted to ask you something."
,,4,B,,,¿Qué tal está su esposa Charlotte?,How's your wife Charlotte?
,,1,A,,,¿Qué? ¿De qué hablas?,What? What are you talking about?
11,,1,A,,,"Yo no estoy casado, si esto es una especie de truco...","I'm not married, if this is some kind of trick..."
,,1,A,GLITCH,,...,...
,,1,A,,,"Espera, ¿qué has dicho?","Wait, what did you just say?"
,,1,A,,,¿¡Qué sabes de mi mujer!? ¿¡Qué le has hecho!?,What do you know about my wife!? What did you do to her!?
,,4,B,,,"Entonces, eso era. Todo este tiempo y no me había dado cuenta.","So, that was it. All this time and I hadn't noticed."
,,4,B,,,Ejem...,Ahem...
,,4,B,,,"No te preocupes por ella, no tiene ninguna importancia aquí. Lo que es seguro es que os queda poco tiempo.","Don't worry about her, she's of no importance here. What is certain is that you have little time left."
,,4,B,,,La bomba está a punto de estallar y arrasará este edificio y todo su contenido desde los cimientos.,The bomb is about to go off and will level this building and all within it from the very foundations.
20,,4,B,,,Buena suerte.,Good luck to you.
,,,,,,,
,,1,A,HANG,,...,...
,,1,A,,,¡JODER!,FUCK!
,,1,A,,,"Jerry, acaba de decir que la bomba destruirá hasta los cimientos. ¿Ves un camino hacia la planta subterránea?","Jerry, he just said the bomb will destroy the foundation. Do you see a path to the basement?"
,,2,C,,,¿Esa sucia rata se esconde en el sótano? En cuanto salga de ahí se las verá con mi rifle.,Is that dirty rat hiding in the basement? As soon as he comes out of there he'll be dealing with my rifle.
,,3,C,,,"La bajada a la planta de la caja acorazada no debe estar lejos, señor. Me pongo en marcha.","The way down to the vault floor shouldn't be far, sir. I'm on my way."
,,3,C,,,"No se preocupe señor, me ocuparé del explosivo y de ese tipo si se pone en medio.","Don't worry sir, I'll take care of the explosive and that guy if he gets in the way."
0,,2,C,,,"Wow. ¡Jerry Miller, un hombre de acción!","Wow. Jerry Miller, man of action!"
