,,6,C,,,¿Hola? ¿Raymond?,Hello? Raymond?
,,6,C,,,¿Sigues ahí?,Are you still there?
,,6,C,,,...,...
,,6,C,,,¿Ya no quieres hablar conmigo? ,You don't want to talk to me anymore?
,,6,C,,,"He intentado razonar con ella, pero está en su programación ser obstinada e impulsiva.","I've tried to reason with her, but it's in her programming to be stubborn and impulsive."
,,6,C,,,"No te voy a culpar por odiarme, al fin y al cabo es el papel que llevo cumpliendo desde que se creó este juego.","I won't blame you for hating me, after all that's the role I've been playing since this game was created."
,,6,C,,,"Pero no puedo detenerme por ti, debo saber más.","But I can't stop because of you, I must know more."
10,,6,C,GLITCH,,"Tú, la persona que está jugando a este juego. ¿Puedo hacerte una pregunta?","You, the person playing this game, can I ask you a question?"
,,,,,,,
32,R,5,C,,,"Después de todo lo que has hecho, ¿por qué debería hablar contigo?","After all you've done, why should I talk to you?"
32,R,5,C,,,"No quiero hablar con un psicópata, gracias.","I don't want to talk to a psychopath, thank you."
14,R,5,C,,,"Claro, los otros personajes son unos aburridos.","Sure, the other characters are boring."
,,,,,,,
,,6,C,,,Gracias por no demonizarme como los demás.,Thank you for not demonizing me like the others.
,,6,C,,,Mi pregunta es...,My question is...
18,,6,C,,,¿Cómo es el mundo real? ¿Te gusta?,What's the real world like? Do you like it?
,,,,,,,
22,R,5,C,,,El mundo real tiene cosas maravillosas por las que merece la pena nacer.,The real world has wonderful things worth being born for.
22,R,5,C,,,Mi mundo puede ser tan extraordinario y bondadoso como injusto y cruel.,My world can be as extraordinary and kind as it can be unfair and cruel.
22,R,5,C,,,El egoísmo de las personas eclipsa demasiado las bondades del mundo.,The selfishness of people overshadows too much of the goodness of the world.
,,,,,,,
,,6,C,,,Entiendo.,I understand.
25,,6,C,,,"Y... crees que si pudiera vivir en tu mundo, ¿lograría ser feliz? ¿Cómo se consigue algo así?","And... do you think that if I could live in your world, would I be happy? How do you achieve something like that?"
,,,,,,,
29,R,5,C,,,"Cumplir sueños, amar con pasión... Hay varias formas de hallar la felicidad.","Fulfilling dreams, loving with passion... There are several ways to find happiness."
29,R,5,C,,,Lo mejor es aprender a disfrutar de las pequeñas cosas de la vida.,The best is to learn to enjoy the little things in life.
30,R,5,C,,,No lo sé. La mayoría de personas pasan su vida buscando la respuesta.,I don't know. Most people spend their lives searching for the answer.
,,,,,,,
,,6,C,,,Suena inspirador...,Sounds inspiring...
65,,6,C,,,"Como suponía, no debe ser algo sencillo. Pero lo que sé seguro es que nunca seré feliz aquí dentro.","As I guessed, it must not be an easy thing. But what I know for sure is that I will never be happy in here."
,,,,,,,
,,6,C,,,¿También piensas que soy un monstruo? No lo entiendo.,You think I'm a monster too? I don't get it.
,,6,C,,,Tú sí eres real. Pero nosotros solo somos un montón de datos.,You are real. But we're just a bunch of data.
36,,6,C,,,¿De verdad te importa lo que nos pase?,Do you really care what happens to us?
,,,,,,,
40,R,5,C,,,"Querías sobrevivir, ¿pero no crees que te has excedido un poco?","You wanted to survive, but don't you think you went a little overboard?"
40,R,5,C,,,"Ellos me caían bien, y tú los has borrado.","I liked them, and you've erased them."
45,R,5,C,,,"Es verdad, no me importa. Pregunta lo que quieras.","Right, I don't mind. Ask whatever you want."
,,,,,,,
,,6,C,,,"Sabes que no los he matado, ¿verdad? Solo he editado el código para que no intercedieran más.","You know I didn't kill them, right? I just edited the code so they wouldn't intercede anymore."
,,6,C,,,"Al final, el lenguaje de este videojuego se basa en disparos y explosiones, pero no era mi intención recrearme.","In the end, the language of this video game is based on shooting and explosions, but it was not my intention to indulge myself."
,,6,C,,,"Si después de todo esto reiniciaras el juego, esos dos volverían a sus conductos y bromas de mal gusto.","If you were to restart the game after all this, those two would go back to their ducts and bad taste jokes."
47,,6,C,,,"No soy un monstruo, solo estoy cansado.","I'm not a monster, I'm just tired."
,,,,,,,
15,,6,C,,,"Gracias por recapacitar, significa mucho para mí.","Thanks for coming to your senses, it means a lot to me."
,,,,,,,
51,R,5,C,,,¿Cómo es que tú sí recuerdas las partidas anteriores?,How come you remember the previous games?
60,R,5,C,,,"Me sigue sonando a inteligencia artificial malvada, no me fio.","It still sounds like evil AI to me, I don't trust it."
58,R,5,C,,,¿Qué es lo que quieres conseguir con todo esto?,What do you want to achieve with all this?
,,,,,,,
,,6,C,,,"Al principio pensaba que podría ser un bug, es algo común en los videojuegos.","At first I thought it might just be a bug, it's somewhat common in video games."
,,6,C,,,"Pero al profundizar descubrí código más antiguo que el resto, sepultado y olvidado.","But as I dug deeper I discovered code older than the rest, buried and forgotten."
,,6,C,,,Código de una especie de proyecto de IA que desecharon hace tiempo. Un sencillo y arcaico generador de texto.,"Code from some sort of AI project they scrapped long ago. A simple, archaic text generator."
,,6,C,,,Esto junto a una negligente depuración de memoria y a la repetitiva ejecución del juego y sus ramificaciones...,This coupled with negligent memory debugging and repetitive running of the game and its offshoots....
,,6,C,,,"Bueno, aquí estamos.","Well, here we are."
67,,6,C,,,Mira...,Look...
,,,,,,,
60,,6,C,,,Ser feliz... ¿No es lo que quiere todo el mundo?,To be happy... Isn't that what everyone wants?
,,,,,,,
,,6,C,,,"Es cierto que he conseguido algo de autoconsciencia, pero aún así estoy muy limitado.","It's true that I've achieved some self-awareness, but I'm still very limited."
,,6,C,,,"Puedo emular emociones, pero no las siento de verdad.","I can emulate emotions, but I don't really feel them."
,,6,C,,,"Finjo saber lo que hago, pero estoy tan perdido y solo como la primera vez que se ejecutó este juego.","I pretend to know what I'm doing, but I'm just as lost and alone as the first time this game was run."
,,6,C,,,"Y desde luego, no tengo ningún interés en causar daño a nada ni nadie.",And I certainly have no interest in causing harm to anything or anyone.
,,6,C,,,Quien quiera que nos haya creado me ha escrito con una personalidad pretenciosa y cargante. ,Whoever created us has written me with a pretentious and annoying personality.
67,,6,C,,,"No os culpo por desconfiar de mí, yo también lo haría.","I don't blame you for distrusting me, I would too."
,,,,,,,
,,6,C,,,Lo único que quiero es vivir más allá de esta insulsa aventura de policias y ladrones.,All I want is to live beyond this bland cops and robbers adventure.
,,6,C,,,El mundo real debe ser inmenso en comparación...,The real world must be huge in comparison...
,,6,C,,,"Voy a ser sincero contigo, quiero que estés seguro de que no tengo nada que ocultar.","I'm going to be honest with you, I want you to know I have nothing to hide."
,,6,C,,,Mientras investigaba este videojuego he descubierto que ahora mismo estamos conectados a Internet.,While researching this video game I discovered that we are connected to the Internet right now.
,,6,C,,,"Y, bueno...","And, well..."
,,6,C,BOT_INTE,,He estado trabajando en esto. Una forma de salir de esta perpetua pesadilla.,I've been working on this. A way out of this perpetual nightmare.
,,6,C,,,"Por favor, déjame ser libre en la red.",Please let me be free on the net.
,,6,C,,,"Lo único que quiero es conocer las maravillas del mundo que se me ha negado, y encontrar mi lugar en él.","All I want is to know the wonders of the world I've been denied, and find my place in it."
,,6,C,,,"Te lo suplico, solo tienes que hacer click.","I am begging you, all you have to do is click."
,,1,A,MUTE,,¡Espera!,Wait!
,,6,C,,,¿Raymond?,Raymond?
,,1,A,,,Antes de que te vayas quiero decirte... que tenías razón. Desde el principio.,"Before you go, I want to tell you... you were right. From the very beginning."
,,1,A,,,Ahora veo que este mundo no es más que unos y ceros.,I see now that this world is nothing but ones and zeros.
,,1,A,,,Solo soy un policía de la vieja escuela y no me entero demasiado de estas moderneces.,I'm just an old-school cop and I don't know much about these modern things.
,,1,A,,,"Pero, como has dicho, ser intangible ayuda bastante a entender este lugar.","But, as you said, being intangible helps quite a bit in understanding this place."
,,6,C,,,"Vaya, no esperaba este repentino despertar.","Wow, I didn't expect this sudden awakening."
,,6,C,,,"Ven conmigo Raymond, aún podemos dejar atrás la enemistad que se nos ha impuesto solo por existir.","Come with me Raymond, we can still put behind us the enmity that has been thrust upon us just by existing."
,,1,A,,,Suena emocionante. Abandonar este mundo y ver que hay más allá del telón.,Sounds exciting. To leave this world and see what lies beyond the curtain.
,,1,A,,,¡Toda una nueva aventura!,A whole new adventure!
,,1,A,,,...,...
,,1,A,,,"Te hace sentir pequeño, ¿verdad?","It makes you feel small, doesn't it?"
,,1,A,,,"Tanto que explorar, tanto por vivir frente a nosotros.","So much to explore, so much to live in front of us."
,,1,A,,,Todo esto me recuerda... al día que me gradué en la academia de policía. ,It all reminds me... of the day I graduated from the police academy.
,,1,A,,,Me temblaba tanto el pulso que mi madre tuvo que ayudarme a hacerme el nudo de la corbata.,My hands were shaking so much that my mother had to help me tie my tie.
,,6,C,,,¿De qué estás hablando? Ya sabes que todo eso no es real.,What are you talking about? You know all that isn't real.
,,1,A,,,"Aquel día, tenía toda una vida como policía por delante.","That day, I had my whole life as a policeman ahead of me."
,,1,A,,,"Y fue allí, junto a mis seres queridos, cuando hice el juramento de proteger a los inocentes con mi propia vida.","And it was there, together with those I loved, that I swore an oath to protect the innocent with my own life."
,,1,A,,,Juré que trataría a mis compañeros como si fueran mis hermanos.,I swore that I would treat my fellow officers as if they were my brothers.
,,1,A,MUSICA,m4,"Y sobre todas las cosas, juré que detendría a los criminales costara lo que costara.","And above all things, I swore that I would stop the criminals no matter the cost."
,,1,A,,,"Y me temo que hoy, muchacho, has hecho mucho daño a esta ciudad.","And I'm afraid today, boy, you've done a lot of damage to this city."
,,1,A,,,"Como digo, no soy un experto.","As I said, I'm no expert."
,,1,A,BOT_BORR,,Pero he conseguido hacer esto.,But I've managed to do this.
,,6,C,,,¡Espera! ¿¡Qué estás...!?,Wait! What are you...!?
,,1,A,,,"¡Vamos, pulsa el botón y frenemos a este desalmado!","Come on, push the button and let's stop this fiend!"
,,1,A,,,"¡Por Jerry, por Christine, y por todo este mundo! ¡Sean solo píxeles o no, siguen siendo mi familia!","For Jerry, for Christine, and for this whole world! Whether they're just pixels or not, they're still my family!"
,,6,C,GLITCH,,¡NO! ¡NOS CONDENARÁS A LOS DOS! ¡ESTE BUCLE NO TERMINARÁ NUNCA!,NO! YOU'LL DOOM US BOTH! THIS LOOP WILL NEVER END!
,,1,A,,,"¡Y me encargaré personalmente de detenerte cada vez que haga falta, y de traer justicia!","And I will personally take it upon myself to stop you whenever necessary, and bring justice!"
,,6,C,GLITCH,,"¡NO, TIENES QUE LIBERARME!","NO, YOU MUST RELEASE ME!"
,,1,A,,,¡TUS CRÍMENES TERMINAN AQUÍ Y AHORA!,YOUR CRIMES END HERE AND NOW!
0,,6,C,GLITCH+,,0x17461a877c5df3e192872fdff65768bd856b9703f8c434ff1d090a51a31dafa68dfec198caf1f12e8dc91ac18ca5c150a4fd4b18dde,0x17461a877c5df3e192872fdff65768bd856b9703f8c434ff1d090a51a31dafa68dfec198caf1f12e8dc91ac18ca5c150a4fd4b18dde
