,,3,A,,,"Eh... Si, señor.","Uh... Yes, sir."
,,3,A,,,He accedido por el sistema de ventilación del tejado. Estoy en los conductos de la segunda planta.,I gained access through the roof ventilation system. I'm in the ducts on the second floor.
,,2,C,,,¿Vas a mandar a Jerry a buscar la bomba y desactivarla?,You're gonna send Jerry to find the bomb and defuse it?
,,2,C,,,Estarás de broma. Con lo que pasó la última vez.,You've got to be kidding me. After what happened last time.
,,3,A,,,"¡Eso fue solo un entrenamiento, no cuenta!","That was just training, it doesn't count!"
,,3,A,,,"Además, solo me equivoqué por un cable.","Besides, I was only off by one wire."
,,2,C,,,¿Estás seguro de que no eres daltónico? Sería un problema.,Are you sure you're not colorblind? That would be a problem.
,,1,C,,,¡Ya vale!,That's enough!
,,1,C,,,"Miller, explora las dos plantas, busca la bomba y cualquier información que pueda sernos útil.","Miller, explore the two floors, look for the bomb and any information that might be useful to us."
,,1,C,,,Y utiliza el plano del banco que hemos conseguido para orientarte.,And use the map of the bank we've got to help you get your bearings.
0,,3,A,,,"¡A la orden, sheriff!","You got it, sheriff!"
